material_id,formula,spacegroup,eps_total_petousis,eps_elec_petousis,n_petousis,eps_total_exp,diel_ref,n_exp,n_ref,polycrystalline,n_sites,n_elems,bandgap_mp,eps_electronic_mp,eps_total_mp,n_mp,diel_elec_mp,diel_total_mp,diel_total_petousis,diel_elec_petousis,diel_total_exp,series,doi,wyckoff
mp-1190,ZnSe,"['F-43m', 216]",10.68,7.35,2.71,9.12,[2],2.55,[41],False,2,2,1.6143,"[[7.3219, 0.0, 0.0], [0.0, 7.3219, 0.0], [0.0, 0.0, 7.3219]]","[[10.7149, 0.0, 0.0], [0.0, 10.7149, 0.0], [0.0, 0.0, 10.7149]]",2.7059,7.3219,10.7149,10.68,7.35,9.12,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_216_a_c:Se-Zn
mp-22922,AgCl,"['Fm-3m', 225]",14.77,4.87,2.21,11.15,[42],2.07,[42],False,2,2,1.2003,"[[4.8743, -7.1334e-07, 7.1334e-07], [-7.1334e-07, 4.8743, 3.8892e-07], [7.1334e-07, 3.8892e-07, 4.8743]]","[[14.9205, -2.1835e-06, 2.1835e-06], [-2.1835e-06, 14.9205, 1.1904e-06], [2.1835e-06, 1.1904e-06, 14.9205]]",2.2078,4.8744,14.9205,14.77,4.87,11.15,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:Ag-Cl
mp-22875,TlBr,"['Pm-3m', 221]",180.17,5.69,2.39,30.60,[43],2.27,[44],True,2,2,2.3615,,,,,,180.17,5.69,30.6,Petousis 2017,10.1038/sdata.2016.134,AB_cP2_221_a_b:Br-Tl
mp-22898,KI,"['Fm-3m', 225]",5.86,2.80,1.67,5.60,[2],1.67,[19],False,2,2,4.0433,"[[2.7953, 2.1832e-07, -7.6815e-07], [2.1832e-07, 2.7953, 8.7715e-08], [-7.6815e-07, 8.7715e-08, 2.7953]]","[[5.8913, 4.6012e-07, -1.6189e-06], [4.6012e-07, 5.8913, 1.8486e-07], [-1.6189e-06, 1.8486e-07, 5.8913]]",1.6719,2.7953,5.8914,5.86,2.8,5.6,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:I-K
mp-8016,AlCuSe2,"['I-42d', 122]","10.29, 10.64","8.11, 8.15",2.85,"6.67, 8.28",[45],2.78,[45],False,8,3,0.8932,"[[8.0908, 0.0, 0.0], [0.0, 8.0908, 0.0], [0.0, 0.0, 8.0645]]","[[10.0173, 0.0, 0.0], [0.0, 10.0173, 0.0], [0.0, 0.0, 10.3424]]",2.8429,8.0821,10.1257,10.4067,8.1233,7.2067,Petousis 2017,10.1038/sdata.2016.134,ABC2_tI16_122_a_b_d:Al-Cu-Se
mp-571102,TlI,"['Fm-3m', 225]",21.47,5.49,2.34,20.80,[33],,,True,2,2,2.4361,"[[5.5145, 6.2928e-07, 4.6460e-07], [6.2928e-07, 5.5145, 8.3041e-07], [4.6460e-07, 8.3041e-07, 5.5145]]","[[21.1723, 2.4160e-06, 1.7838e-06], [2.4160e-06, 21.1723, 3.1882e-06], [1.7838e-06, 3.1882e-06, 21.1723]]",2.3483,5.5145,21.1723,21.47,5.49,20.8,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:I-Tl
mp-22913,CuBr,"['F-43m', 216]",9.18,6.39,2.53,7.90,[2],2.15,[2],True,2,2,0.4871,"[[6.2591, 0.0, 0.0], [0.0, 6.2591, 0.0], [0.0, 0.0, 6.2591]]","[[9.0869, 0.0, 0.0], [0.0, 9.0869, 0.0], [0.0, 0.0, 9.0869]]",2.5018,6.2592,9.087,9.18,6.39,7.9,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_216_a_c:Br-Cu
mp-3955,AlPO4,"['P3_221', 154]","4.55, 4.60","2.34, 2.37",1.53,"4.62, 4.73",[2],1.52,[2],False,18,3,5.6177,,,,,,4.5667,2.35,4.6567,Petousis 2017,10.1038/sdata.2016.134,AB4C_hP18_154_a_2c_b:Al-O-P
mp-23259,LiBr,"['Fm-3m', 225]",15.60,3.41,1.85,13.20,[3],1.78,[19],True,2,2,5.09,,,,,,15.6,3.41,13.2,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:Br-Li
mp-5986,BaTiO3,"['P4mm', 99]","7.59, 19.44","5.74, 6.28",2.43,"138.50, 2445.00",[2],2.41,[46],False,5,3,1.8298,"[[6.2675, 0.0, 0.0], [0.0, 6.2675, 0.0], [0.0, 0.0, 5.1638]]","[[7.6526, 0.0, 0.0], [0.0, 7.6526, 1.3552e-20], [0.0, 1.3552e-20, 19.2430]]",2.4289,5.8997,11.5161,11.54,5.92,907.3333,Petousis 2017,10.1038/sdata.2016.134,AB3C_tP5_99_b_ac_a:Ba-O-Ti
mp-700,GeSe,"['Pnma', 62]","19.56, 20.87, 26.95","13.96, 14.45, 15.49",3.82,"21.90, 25.80, 30.40",[1],,,False,8,2,0.8969,"[[14.2685, 0.0, 0.0], [0.0, 12.2563, 0.0], [0.0, 0.0, 15.2149]]","[[20.5300, 0.0, 0.0], [0.0, 16.7316, 0.0], [0.0, 0.0, 26.9888]]",3.7301,13.9133,21.4168,22.46,14.6333,26.0333,Petousis 2017,10.1038/sdata.2016.134,AB_mP8_62_c_c:Ge-Se
mp-2133,ZnO,"['P6_3mc', 186]","10.58, 11.33","5.51, 5.57",2.35,"7.80, 8.75",[47],2.01,[2],False,4,2,0.7316,"[[5.3954, -5.2480e-17, 0.0], [-5.2480e-17, 5.3955, 0.0], [0.0, 0.0, 5.3800]]","[[10.5335, -1.0245e-16, 5.6468e-22], [-1.0245e-16, 10.5335, -1.1293e-21], [5.6468e-22, -1.1293e-21, 11.4387]]",2.3217,5.3904,10.8353,10.83,5.53,8.1167,Petousis 2017,10.1038/sdata.2016.134,AB_hP4_186_b_b:O-Zn
