icsd_id,bandgap_gga,bandgap_hse
23803,3.334183,4.529468
24672,3.365144,4.548798
22325,1.084043,1.916113
4107,1.113886,1.961482
97282,0.809915,1.596743
415303,2.644026,3.755139
415306,2.629128,3.739205
153154,1.872273,2.911791
153155,2.079797,3.14641
153156,1.721659,2.765595
153157,2.020647,3.116444
24244,0.413201,1.142262
25549,1.849041,2.892629
88619,1.912608,2.98839
174299,0,0.357775
16611,4.823333,6.796373
40865,5.547949,7.473458
77377,5.197561,7.182713
1422,0.451329,1.75531
10471,2.80807,4.191422
236386,0.220447,1.349048
280396,3.051111,4.446096
280397,2.770464,4.114893
2523,1.677021,2.633501
20361,0,0.712562
156051,1.735795,2.52756
156052,1.334185,2.161385
15798,1.987997,2.874682
157988,1.375304,2.227034
80594,2.364513,3.232927
195,0.329172,0.899466
24407,3.676749,5.008344
62026,3.821533,5.170936
25718,0,0.637515
16226,2.926766,4.243993
10148,0,0.183654
406625,4.5656,6.00997
42777,4.56273,6.006821
300205,5.565196,7.116759
15390,5.117213,7.088848
9038,0,0.433956
27659,0,0
27669,0,0
35662,0,0
20368,0,0
247821,0,1.107546
15999,0,0
59225,0,0
28919,0,0
24005,5.853293,7.732206
409611,4.025589,5.275586
655562,3.927132,5.13373
655563,3.545658,4.732631
36066,6.273963,8.269353
656231,1.846274,2.764466
173922,2.748898,4.044872
616005,2.087946,3.379908
24729,2.244014,3.827156
61181,7.42349,9.316119
654407,7.067071,8.88825
30361,0,0
260800,2.171874,3.155639
27150,0,0
417638,1.605395,2.562248
421855,1.519699,2.446896
98407,6.558177,8.287411
619461,3.634429,5.316247
619462,2.752605,4.96465
29289,0,0.762604
52886,0,0
88756,0,0
28506,0,0
63165,0.262358,2.82996
166022,0,0
15904,0,0
627062,0,0
15695,0,0
111,0,0
16025,0,0
61323,0,0
69757,0,2.427196
85080,0,0
89236,0,0
96699,0,0
63281,0.699901,2.035365
77675,0.384983,2.196631
62764,0,0
430183,0,0
82233,0,0
82236,0,0
15840,2.172997,3.374987
28664,0,0
31156,0,0
65338,0,0
185516,0,0
33644,2.344522,4.004888
603563,1.80346,3.531297
16577,2.974617,4.824748
59627,2.979574,4.832504
27844,0,0
638741,0,0
53033,3.767457,5.294208
638740,3.957509,5.452492
71354,4.18319,5.767806
83863,3.342144,4.816564
16627,0,0
40316,1.235338,2.469168
169426,0.883807,2.261355
24325,0.869701,2.308746
56009,0,-0.172759
640883,0,0
641278,0,0
180561,0,0
180565,0,0
173206,4.970978,6.59139
642716,4.537253,6.278732
29326,0,0
150462,0.399822,0
54114,1.288747,2.59633
40110,0.355747,0
152316,0,0
36263,0,0
644069,0,0
152312,1.384003,2.506633
644068,1.168013,2.195717
31175,0,0
180562,0,0
26582,0,0
26583,0,0
14338,0,0
61634,0,0
95729,0,0
56018,0,-1.267238
75198,0,0
71317,2.41998,3.788723
39595,0,0
92127,3.431994,4.560893
647697,0,0
647545,0,0
647685,0,0
647556,0,0
61627,0,4.099119
174033,0,0
9040,0,0.01082
15028,0,-0.028244
50409,0,0
24293,0,0
62846,1.404831,2.157659
653900,0.19305,0.369546
28838,0,0
26598,0,0.843973
28837,0,0
41617,0,0
77650,0,0
77651,0,0
105543,0,0
26599,0,0.817473
29336,0,0
26597,0.269161,0.701043
61635,0,0
647482,0,0
28387,0,0
76022,0,0
105551,0,-1.620112
15327,0,0
196273,0,0
647555,0,0
99784,0,0
20041,0,0
23575,0,0
17009,0,0
20042,0,0
