material_id,formula,e_form_pred_n0,e_form_ale_n0
scn-236,Y4Mg14Ti3Sn,0.0144,0.0169
scn-237,BaClF4,-2.653,0.1122
scn-238,LiMg4SnP,-0.3305,0.0189
scn-239,KMgWO6,-1.8203,0.0683
scn-240,Zr(Sc4Pb)2,-0.2462,0.0275
scn-241,BiRh7O19,-0.9987,0.056
scn-242,KNaCa12(Ti2Bi)2,0.0268,0.0315
scn-243,CsBiPt2O7,-1.3264,0.0345
scn-244,Nb4VInO12,-2.6712,0.0341
scn-245,BaSr9Ti4,0.397,0.0199
scn-246,Al5VMo,-0.2207,0.0174
scn-247,Na2CaMg15(Nb2Bi)2,0.1036,0.031
scn-248,Hf2InCl5,-1.7751,0.0301
scn-249,SrMg3Zr,0.0912,0.0128
scn-250,Cs2Ru3F5,-1.5503,0.0706
scn-251,Sr2Li2Mg13Nb4,0.2222,0.0445
scn-252,Ca5Mg15Ta4,0.2585,0.0912
scn-253,AgIr3O8,-1.1644,0.0331
scn-254,Li2HfMg3,0.0969,0.0147
scn-255,SrFeF3,-2.992,0.069
scn-256,Cd4MoPt3O16,-1.0655,0.1047
scn-257,ZrNbO3,-2.2701,0.1285
scn-258,Ca3TiNbO9,-2.9647,0.0715
scn-259,CsTl2CuF6,-2.0852,0.029
scn-260,CsMg2Sc,0.2836,0.0305
scn-261,Al8Bi2Pb,0.1487,0.0225
scn-262,AlPbF,-1.1052,0.0491
scn-263,RbNa5TiNb,0.6758,0.0341
scn-264,Al2ZnF6,-3.1726,0.0561
scn-265,LiMg3Ta,0.2388,0.0191
scn-266,Ti(TlCd3)2,0.1641,0.0173
scn-267,RaV3O10,-2.4824,0.0335
scn-268,Ca(BiO)2,-1.6313,0.0443
scn-269,CsCa2CrO6,-2.2848,0.0495
scn-270,LiCa2Mg10Ta3,0.2281,0.0357
scn-271,K4Nb(RhO4)3,-1.8208,0.0285
scn-272,BaMg4W,0.4316,0.0272
scn-273,Mg5Bi3O14,-2.0331,0.0653
scn-274,Mg4SnW,0.2188,0.0239
scn-275,BaHfMg3,0.281,0.0166
scn-276,Mg5TiBi2,-0.0574,0.0214
scn-277,Sr3Mg12Ta4F2,-0.0532,0.0389
scn-278,Ba(NbAl3)2,-0.1418,0.0139
scn-279,CsNa6NbW,0.7585,0.0333
scn-280,Y3Mg7Ta,0.1133,0.0125
scn-281,KMg6ScTl2,0.0569,0.012
scn-282,Ca7TlBi2,-0.6048,0.0362
scn-283,CaMg7(TaH)2,0.1035,0.0236
scn-284,Mg4Al2Ni,-0.121,0.0173
scn-285,TaCr2BiO6,-2.196,0.044
scn-286,NaMg6Zr2Bi,0.0509,0.0221
scn-287,Ba4Na2Mg11W2,0.4102,0.0271
scn-288,Si(ClF3)2,-1.9087,0.098
scn-289,Rb2MgNbF5,-2.8922,0.0482
scn-290,TiTlTeO5,-2.2279,0.0259
scn-291,Mg4NbSb,0.0303,0.0246
scn-292,Mg3W,0.4046,0.0293
scn-293,Sr6ZrTiPb2,-0.0055,0.0185
scn-294,CaBiCN,-0.0576,0.0492
scn-295,Na3TaO7,-1.5895,0.093
scn-296,FrRbO3,-1.9035,0.0488
scn-297,Ti3Nb2Co(PbO3)6,-2.4089,0.0294
scn-298,Na2PbWS4,-0.8958,0.0235
scn-299,TlSeCl4,-1.0544,0.022
scn-300,Sr5ZrHg4O15,-2.0026,0.0494
scn-301,Na4NbBi,0.1243,0.0205
scn-302,Mg4TiGe,-0.0136,0.0267
scn-303,Li4Mg4C,0.2089,0.0498
scn-304,BaMg3Ni,0.0301,0.0314
