material_id,formula,diel_ionic_pred_n0,diel_ionic_ale_n0,diel_ionic_target
mp-541979,Bi9Rh2I3,30.0409,1.6582,0.0
mp-1194301,Li3CuB3O7,5.0049,0.2179,0.0
mp-5367,K5SnSb3,5.5806,0.2555,0.0
mp-758715,Li2CuSiO4,6.8778,0.2333,0.0
mp-561113,Ag2BiO3,8.7501,0.3878,0.0
mvc-14025,Zn2Co3O8,10.3578,0.6222,0.0
mp-1175749,Li9Mn2Co5O16,7.4086,0.258,0.0
mp-573073,Cs7Cu6F19,6.6026,0.2424,0.0
mp-1112064,K2SbAuI6,15.2974,0.853,0.0
mp-753796,Li6CrO6,13.7834,3.1195,0.0
mp-1222710,LiV5O10,18.4354,1.4821,0.0
mp-39239,SrLaMnRuO6,11.3834,0.7283,0.0
mp-1517875,BaSrCeWO6,13.0173,0.4544,0.0
mp-1113637,Rb2SbAuI6,11.5221,0.5195,0.0
mp-771053,Mn5Cr3O16,8.3133,0.536,0.0
mp-755517,V6O7F5,7.5298,0.3971,0.0
mp-19793,YbFeO3,11.596,0.4278,0.0
mp-753132,CaMn7O8,9.9593,0.4908,0.0
mp-764516,Li3Co2(SiO4)2,6.0065,0.4382,0.0
mp-9179,Ba3Zr2S7,34.6277,5.5354,0.0
mp-1190998,PrPS,11.3405,0.3889,0.0
mp-504699,Ba2UFeO6,32.8334,2.0051,0.0
mp-1174838,Li7Mn2(CoO4)3,9.3131,0.3625,0.0
mp-777640,LiV4OF11,5.4011,0.244,0.0
mp-1197664,K3Li3P6O19,3.4747,0.3899,0.0
mp-9503,BaDyCuTe3,9.4712,0.1677,0.0
mp-1223921,K2VCo6Cu2As5O24,9.707,0.7077,0.0
mp-555113,Rb3Cu2(BiS2)5,24.6484,2.1579,0.0
mp-756128,Li2Cr3CoO8,5.8216,0.4517,0.0
mvc-5760,BiO2,25.8254,1.6647,0.0
mp-6090,Na2Cu(CO3)2,4.6682,0.2302,0.0
mp-1192538,K(SnAs)3,13.1903,1.8999,0.0
mp-850462,Li4MnV3(P2O7)4,5.1672,0.7466,0.0
mp-772134,Li2Cr3Ni(SO4)6,6.7432,0.8481,0.0
mp-1215797,Zn2Cu10Sb4S13,7.435,0.4336,0.0
mp-1025781,Te4Mo2WSe2,3.8865,0.6842,0.0
mp-1190817,CsEuAsS3,8.4643,0.2726,0.0
mp-1029236,Te3MoWSe,2.3985,0.6708,0.0
mp-1228475,Ba5Mn(Co2O7)2,8.5776,0.4141,0.0
mp-1195767,Ca5P3O13,6.4473,0.2622,0.0
mp-1080771,NaCl7,3.2024,0.2405,0.0
mp-1184972,Li2InBi,20.0551,2.7155,0.0
mp-1196467,Rb2Cu3P4(O3F)4,4.1647,0.1529,0.0
mp-755014,Li5Ti2Ni3O10,21.8104,0.9464,0.0
mp-1013554,Sr3PN,58.4198,1.6961,0.0
mp-752921,LiMn4O8,8.1394,0.4211,0.0
mp-1667296,Li7Mn4CoO12,10.4443,0.4278,0.0
mp-1194762,Na2NdGeO5,7.0026,0.2706,0.0
mp-585241,LiBi2(PO4)3,9.5543,0.5291,0.0
mp-777835,Li6MnV3(PO4)6,26.0835,32.4131,0.0
mp-1214014,Cs2NaUBr6,4.7396,0.2242,0.0
mp-1194274,Na2Cr3O9,5.2458,0.2843,0.0
mp-1520136,BaNaCeWO6,14.6144,0.4628,0.0
mp-22375,In2S3,8.519,0.5352,0.0
mp-1310718,Li4Mn3NbO8,11.7816,0.5852,0.0
mp-754260,V6O11F,13.6772,0.8373,0.0
mvc-3029,Mg2Co3O8,7.3431,0.2933,0.0
mp-1247365,Ca5(ReN3)2,17.2077,1.6672,0.0
mp-1112922,Cs2SbAuI6,9.4879,0.4381,0.0
mp-777185,Li4V2(PO4)3,5.7557,0.6104,0.0
mp-759105,Ni6OF11,10.8979,6.8571,0.0
mp-29332,Pt(PbO2)2,9.1738,0.338,0.0
mp-1194704,GaSb2(TeCl2)2,30.4987,2.0612,0.0
mp-1204039,CsSb,6.5709,0.2651,0.0
mp-989620,LaTaN3,30.951,1.5577,0.0
mp-774806,Li4Mn3Cr3(SbO8)2,8.7835,0.712,0.0
mp-556047,K2OsCBr5O,4.5328,0.1899,0.0
mp-29641,GeSb4Te7,48.7366,2.4425,0.0
mp-18896,V6O13,16.6708,2.5897,0.0
mp-753140,Li3Ti2(FeO4)2,22.4862,2.0351,0.0
mp-849423,Li2MnVP2(HO5)2,6.0176,1.0756,0.0
mp-646548,KEuAsS3,7.5851,0.3051,0.0
mp-997161,CoAuO2,5.6441,0.2478,0.0
mp-1101873,ErS2,7.8184,0.3473,0.0
mp-9660,Sr2Cu(BO3)2,6.5365,0.2176,0.0
mp-861503,Pr3Sb4Au3,6.3765,0.2452,0.0
mp-669445,Cu2Bi8Pb6S19,51.0515,8.875,0.0
mp-1077840,Mn(BiTe2)2,19.0433,2.6052,0.0
mp-755788,TlCoO3,8.3523,0.3394,0.0
mp-2142,Te2Os,8.7089,0.4386,0.0
mp-620346,Ba3InAs3,16.2006,1.3124,0.0
mp-997028,AgO2F,6.9536,0.4911,0.0
mp-1667008,Li7Mn5O12,12.6363,0.6177,0.0
mp-754905,Ni3OF5,5.2063,0.8153,0.0
mp-1176273,Li9Mn2Co5O16,10.4523,0.6763,0.0
mp-777405,LiMn2(BO3)2,5.3661,0.3241,0.0
mp-759670,Ni6OF11,8.0913,1.814,0.0
mp-1177555,Li4Mn5(Fe2O9)2,6.2995,0.3123,0.0
mp-777277,Li2Cr3CuO8,4.253,0.2408,0.0
mp-1302132,Mn(GeO3)2,4.9691,0.2503,0.0
mp-753804,LiCo2(PO4)2,7.2594,0.6959,0.0
mp-743698,Ca5Dy3Ti5Mn3O24,39.928,4.0305,0.0
mp-1206536,Ba2InSbO6,18.7099,0.7403,0.0
mp-1221733,MnCd4Te5,4.2274,0.2282,0.0
mp-1079276,LiAsSe2,5.4848,0.3956,0.0
mp-867706,V16FeO41,51.2938,15.2073,0.0
mp-1215702,Zn3Cu3(TeO6)2,5.2039,0.2318,0.0
mp-1246815,ZrCrAgS4,4.7104,0.3964,0.0
mp-1175722,Li9Mn2Co5O16,7.761,0.6931,0.0
mp-1175568,Li9Mn2Co5O16,7.761,0.6931,0.0
mp-13327,NdLuSe3,10.0319,0.4848,0.0
mp-1224129,InCuSnSe4,2.9987,0.1407,0.0
