material_id,formula,diel_total_pred_n0,diel_total_ale_n0,diel_total_target
mp-1247365,Ca5(ReN3)2,27.8689,9.6706,0.0
mp-1112922,Cs2SbAuI6,17.1141,0.6482,0.0
mp-777185,Li4V2(PO4)3,8.4965,0.6547,0.0
mp-759105,Ni6OF11,11.7733,0.9073,0.0
mp-29332,Pt(PbO2)2,32.4242,2.0974,0.0
mp-1194704,GaSb2(TeCl2)2,24.837,1.1553,0.0
mp-1204039,CsSb,15.2121,0.4181,0.0
mp-989620,LaTaN3,55.4252,4.3758,0.0
mp-774806,Li4Mn3Cr3(SbO8)2,28.0153,3.1762,0.0
mp-556047,K2OsCBr5O,8.0921,0.4383,0.0
mp-29641,GeSb4Te7,99.4624,8.9617,0.0
mp-18896,V6O13,27.2875,1.9624,0.0
mp-753140,Li3Ti2(FeO4)2,44.7024,7.7824,0.0
mp-849423,Li2MnVP2(HO5)2,10.2929,1.8399,0.0
mp-646548,KEuAsS3,12.1325,0.3401,0.0
mp-997161,CoAuO2,16.5155,0.513,0.0
mp-1101873,ErS2,12.1903,0.412,0.0
mp-9660,Sr2Cu(BO3)2,10.2164,0.3547,0.0
mp-861503,Pr3Sb4Au3,34.5453,1.3396,0.0
mp-669445,Cu2Bi8Pb6S19,78.5244,15.9891,0.0
mp-1077840,Mn(BiTe2)2,63.9025,2.5134,0.0
mp-755788,TlCoO3,14.1088,1.0966,0.0
mp-2142,Te2Os,36.0707,1.2626,0.0
mp-620346,Ba3InAs3,21.709,0.5119,0.0
mp-997028,AgO2F,10.8282,1.1408,0.0
mp-1667008,Li7Mn5O12,15.9054,0.5599,0.0
mp-754905,Ni3OF5,10.1513,0.4085,0.0
mp-1176273,Li9Mn2Co5O16,21.7328,2.4205,0.0
mp-777405,LiMn2(BO3)2,9.3488,0.4899,0.0
mp-759670,Ni6OF11,11.4752,0.6258,0.0
mp-1177555,Li4Mn5(Fe2O9)2,17.4164,1.0814,0.0
mp-777277,Li2Cr3CuO8,9.3535,0.3767,0.0
mp-1302132,Mn(GeO3)2,9.7719,0.3678,0.0
mp-753804,LiCo2(PO4)2,9.7509,1.1806,0.0
mp-743698,Ca5Dy3Ti5Mn3O24,37.5567,2.022,0.0
mp-1206536,Ba2InSbO6,21.4362,0.8249,0.0
mp-1221733,MnCd4Te5,15.0493,0.4668,0.0
mp-1079276,LiAsSe2,11.4557,0.3988,0.0
mp-867706,V16FeO41,38.5624,4.4065,0.0
mp-1215702,Zn3Cu3(TeO6)2,11.8407,0.3769,0.0
mp-1246815,ZrCrAgS4,30.9519,0.9455,0.0
mp-1175722,Li9Mn2Co5O16,20.9336,2.8876,0.0
mp-1175568,Li9Mn2Co5O16,20.9336,2.8876,0.0
mp-13327,NdLuSe3,17.1682,0.5796,0.0
mp-1224129,InCuSnSe4,13.4217,0.467,0.0
mp-1220839,NaLaTi8(CuO4)6,24.3747,1.9977,0.0
mp-1080853,CeSe2,22.7926,0.9502,0.0
mp-13326,PrLuSe3,17.2623,0.55,0.0
mp-1225986,Cu2Ag5Se4NO15,16.7698,1.0748,0.0
mp-1100654,Li9Mn2Co5O16,15.7247,0.6746,0.0
mp-1028592,Te3MoWSe,6.1985,0.6468,0.0
mp-1224809,Ga2Se3,12.7281,0.5773,0.0
mp-1176568,Mn3NiO8,42.9338,10.8683,0.0
mp-769528,Na5Ni2P2(CO7)2,8.7872,0.9137,0.0
mp-1221196,Na4Eu(SiTe3)2,13.4385,0.3879,0.0
mp-759961,FeOF,14.5296,0.6237,0.0
mp-758359,Li2CrSi4O11,6.8694,0.3571,0.0
mp-1221084,NaCu2H3(SO5)2,10.7149,0.4149,0.0
mp-1213622,FeF6,5.583,0.5441,0.0
mp-771903,Fe5Cu(PO4)6,9.4427,0.5377,0.0
mp-759992,MnFeCo(PO4)3,10.4618,1.0785,0.0
mp-1177364,Li4MnV3(P2O7)4,10.6817,1.7467,0.0
mp-1239,Sb3Ir,32.3556,0.8857,0.0
mvc-5884,Mg(CuO2)2,10.0916,0.2889,0.0
mp-1177408,Li4Fe5SbO12,15.7524,0.7617,0.0
mp-1030722,Te2Mo3WSe6,9.4269,2.0535,0.0
mp-765221,Mn6OF11,6.4579,0.4981,0.0
mp-752993,Li4Mn3Ni3(WO8)2,17.5566,0.9767,0.0
mp-1180335,MnAl6Si4O19,6.5201,0.5932,0.0
mp-1176463,Mn3NbO8,44.4934,7.0537,0.0
mp-1213054,Eu2TlCl5,13.9526,0.4257,0.0
mp-504531,CuH20S2(NO7)2,6.8641,0.5216,0.0
mp-768927,Li2MnPCO7,11.0034,3.4664,0.0
mp-1228709,Ba3Sc3In(CuO4)3,17.5795,0.7878,0.0
mp-1177037,Li6Mn3V(PO4)6,11.5017,1.2977,0.0
mp-758711,V6O11F,18.3786,0.9908,0.0
mp-675683,Yb3(Sb7Te12)2,54.593,1.4491,0.0
mp-758147,LiCu(PO3)3,9.3002,1.3205,0.0
mp-1213135,Er2Sn3(PbS4)3,26.9259,2.099,0.0
mp-1204382,Tm10S19,10.9988,0.5584,0.0
mp-1225031,KRbCuH12(SeO7)2,7.6144,0.4964,0.0
mp-1225935,Cu2AgBiPbS4,32.3864,1.7009,0.0
mp-1318786,LiCo3NiO8,17.4567,1.3349,0.0
mp-1028419,Te2Mo3WSe6,9.3791,2.0427,0.0
mp-758856,LiCuPO4,7.7533,0.3707,0.0
mp-1218922,SnTe(PbS)4,57.5014,6.0927,0.0
mp-1176959,Li6MnV3(PO4)6,7.8409,0.8671,0.0
mp-1201576,ZnCu2PH7O9,8.6803,0.3663,0.0
mp-766516,Li2Mn3(BO3)4,8.1457,0.5594,0.0
mp-1215544,ZnCr4CdSe8,13.8195,0.4275,0.0
mp-778856,Li3Mn4(BO3)4,8.9126,0.4662,0.0
mp-863857,Mn3Co3(SbO8)2,23.2018,6.3654,0.0
mp-761266,Li6MnV3(PO4)6,9.6534,1.0733,0.0
mp-1175424,Li9Mn2Co5O16,15.5263,0.6933,0.0
mp-1175441,Li9Mn2Co5O16,16.7344,0.9558,0.0
mp-644514,MnO2,13.9467,0.2354,0.0
mp-555267,CuHgSBr,17.8178,1.5036,0.0
mp-1198792,Te7WBr5O,14.7165,0.426,0.0
mvc-9017,MgAgBiO5,18.222,1.2635,0.0
mp-782657,Mn3VTe2(PO4)6,9.8019,0.4316,0.0
mp-765998,Li4Mn8O9F7,11.6129,1.4887,0.0
mp-1189209,Ho2Te3,21.0065,0.4728,0.0
mp-1203888,NaCeS2O9,7.9825,0.3848,0.0
mp-1218649,Sr2Y4Fe2Cu2O13,14.7777,0.6223,0.0
mp-849537,V6O11,12.19,0.5748,0.0
mp-11051,NaSn,17.463,0.5212,0.0
mp-1199946,Ba2FeSbS5,14.7839,0.6257,0.0
mp-1095403,BaTbCuTe3,18.6885,0.2667,0.0
mp-1191492,LaPS,28.3473,1.326,0.0
mp-759136,LiMn5O10,15.3815,0.6456,0.0
mp-1105293,GaAgO2,13.0202,0.3322,0.0
mp-27370,P10Au7I,13.7068,0.5094,0.0
mp-1245742,Sr11(CN5)2,18.9792,0.4468,0.0
mp-1175775,Li9Mn2Co5O16,20.9336,2.8876,0.0
mp-1080303,CeSe2,21.5214,0.5651,0.0
mp-1002568,MgMn2O4,13.2844,0.595,0.0
mp-776421,LiV2OF5,11.2442,0.5443,0.0
mp-1209172,Tb2Sn3(PbS4)3,27.6855,2.0928,0.0
mp-542697,Rb2RuO4,7.8301,0.3955,0.0
mp-675142,Yb3DySb3,19.429,0.6677,0.0
mp-1223515,KCu2H3(SO5)2,10.9692,0.3865,0.0
mp-32633,Dy6Se11,19.8731,1.6352,0.0
mp-581143,RuOF4,4.7114,0.3122,0.0
mp-1208390,Ta6Bi2O19,54.6499,18.4661,0.0
mp-1087540,CdCu2SiTe4,31.6995,2.6819,0.0
mp-674531,Li5GeP3,12.2443,0.2971,0.0
mp-1219003,Sn2SeS2,35.4097,1.0143,0.0
mp-707485,K4Cu3As4(HO8)2,8.7265,0.4818,0.0
mp-704890,Ba8Co7O19,21.5775,0.9392,0.0
mp-989624,TiPN3,17.1392,1.2322,0.0
mp-989613,TiPN3,15.8456,0.8299,0.0
mp-1278660,Li4CoOF5,6.7605,0.3892,0.0
mp-1105196,ZnCuH3ClO3,8.4879,0.5033,0.0
mp-775433,Li2Ni(PS3)2,12.5611,0.3995,0.0
mp-1030281,Te6Mo3WS2,6.389,1.0712,0.0
mp-1219943,Pb2SeS,39.169,1.2021,0.0
mp-22265,Fe(SbO2)2,11.9195,0.4781,0.0
mp-979979,Sm3Sb4Au3,35.0567,1.3551,0.0
mp-1292648,Mn3(OF2)2,8.7206,0.3537,0.0
mp-1176988,Li6MnV3(PO4)6,9.6534,1.0733,0.0
mp-1219521,SbAsIr,35.7915,0.9192,0.0
mp-1244743,MgBi2O5,35.5929,2.7845,0.0
mp-765036,Li2MnOF3,8.9328,0.4624,0.0
mp-1214402,BaNdCuTe3,17.4864,0.1573,0.0
mp-1648759,ZnCr(GeO3)2,8.9377,0.4167,0.0
mp-557381,Rb3U3Ge2O13,8.0045,0.6969,0.0
mp-1106376,Sm2Te3,17.8435,0.6167,0.0
mp-1004376,NaMn2O4,12.9933,0.517,0.0
mp-1214627,Ba2SrY2Cu2PtO10,16.6638,0.8537,0.0
mp-754570,Li4Ti3V3(SnO8)2,43.4609,3.2541,0.0
mp-867649,LiTi(Si2O5)2,7.8992,0.9112,0.0
mp-778827,LiMn2(BO3)2,9.243,0.4838,0.0
mp-541312,Ge3(Te3As)2,48.7193,2.631,0.0
mp-698313,Rb2CuH4(C2O5)2,7.4102,0.2963,0.0
mp-1113487,Rb2FeCuF6,7.5714,0.3563,0.0
mp-16435,Ba3Sc4(CuO4)3,11.9448,0.4302,0.0
mp-1192859,NaFePO4,8.2915,0.2988,0.0
mvc-3578,Ca2Cr3O8,11.347,0.4682,0.0
mp-1174951,Li7Mn2(CoO4)3,20.2319,2.3998,0.0
mp-758550,K4Li3Mn2O8,10.4837,0.443,0.0
mp-1174912,Li7Mn2(CoO4)3,20.3538,1.0486,0.0
mp-1247360,Ca3InN3,15.5098,0.3195,0.0
mp-1653040,CaV5O7,10.1532,0.4198,0.0
mp-1225870,CsTaS3,8.3829,0.2739,0.0
mp-753229,Li2Mn3NiO8,18.2561,1.3516,0.0
mp-1222174,Mg2ZnAs2,17.3331,0.9393,0.0
