Bi2Zr2O7,,CsTaTeO6,
Wavelength (nm),%R,Wavelength (nm),%R
1477,92.01042938,1477,72.53821564
1476,91.99528503,1476,72.5152359
1475,91.99200439,1475,72.51564789
1474,91.97819519,1474,72.48808289
1473,91.97958374,1473,72.47872925
1472,91.96710968,1472,72.46131897
1471,91.96602631,1471,72.44862366
1470,91.97490692,1470,72.45303345
1469,91.95780182,1469,72.43132782
1468,91.9352951,1468,72.40083313
1467,91.9377594,1467,72.39169312
1466,91.93458557,1466,72.38439941
1465,91.95565796,1465,72.39154816
1464,91.93758392,1464,72.36262512
1463,91.92974091,1463,72.34124756
1462,91.92463684,1462,72.34389496
1461,91.93579865,1461,72.33689117
1460,91.91197205,1460,72.31987762
1459,91.90689087,1459,72.30397797
1458,91.91100311,1458,72.30471039
1457,91.91271973,1457,72.29291534
1456,91.911026,1456,72.27983856
1455,91.90782928,1455,72.27346039
1454,91.90252686,1454,72.25720215
1453,91.89365387,1453,72.25765228
1452,91.89958191,1452,72.23664093
1451,91.90332031,1451,72.22687531
1450,91.90898895,1450,72.21897125
1449,91.90339661,1449,72.20661926
1448,91.90855408,1448,72.20684052
1447,91.90995789,1447,72.1860199
1446,91.90448761,1446,72.16590881
1445,91.91230011,1445,72.17340088
1444,91.90982819,1444,72.15380859
1443,91.91188049,1443,72.14536285
1442,91.91850281,1442,72.13098145
1441,91.92759705,1441,72.11821747
1440,91.92009735,1440,72.10758209
1439,91.92489624,1439,72.10185242
1438,91.91658783,1438,72.08626556
1437,91.92751312,1437,72.06741333
1436,91.92910004,1436,72.06774902
1435,91.931633,1435,72.0582962
1434,91.9251709,1434,72.0497818
1433,91.93107605,1433,72.03897858
1432,91.93692017,1432,72.02316284
1431,91.9382782,1431,72.0149765
1430,91.95105743,1430,72.00591278
1429,91.94707489,1429,71.99913025
1428,91.9561615,1428,71.99651337
1427,91.94983673,1427,71.98154449
1426,91.95217133,1426,71.97325134
1425,91.95277405,1425,71.95870209
1424,91.95693207,1424,71.96517944
1423,91.96853638,1423,71.95322418
1422,91.97720337,1422,71.95046234
1421,91.97934723,1421,71.93460083
1420,91.97743988,1420,71.93499756
1419,92.0088501,1419,71.94140625
1418,92.00276947,1418,71.92598724
1417,91.9969635,1417,71.91983795
1416,92.01481628,1416,71.90927124
1415,92.0233078,1415,71.92398071
1414,91.99355316,1414,71.84628296
1413,92.03993225,1413,71.89795685
1412,92.04405975,1412,71.91005707
1411,92.0477066,1411,71.92526245
1410,92.10682678,1410,71.9173584
1409,92.11820221,1409,71.92658997
1408,92.12985992,1408,71.91042328
1407,92.13478851,1407,71.89581299
1406,92.17237854,1406,71.93452454
1405,92.1641922,1405,71.89866638
1404,92.21652985,1404,71.92113495
1403,92.23938751,1403,71.90879822
1402,92.27603912,1402,71.92904663
1401,92.27612305,1401,71.93087006
1400,92.27304077,1400,71.89151001
1399,92.32355499,1399,71.92710876
1398,92.35510254,1398,71.96239471
1397,92.35639191,1397,71.93428802
1396,92.40860748,1396,71.93764496
1395,92.360672,1395,71.94869232
1394,92.40926361,1394,71.98082733
1393,92.462883,1393,72.00430298
1392,92.44478607,1392,71.96873474
1391,92.52502441,1391,72.01502228
1390,92.5546875,1390,72.0230484
1389,92.53413391,1389,72.01332855
1388,92.5477829,1388,71.99965668
1387,92.58290863,1387,71.99687195
1386,92.58233643,1386,71.9617691
1385,92.56712341,1385,71.92803192
1384,92.56754303,1384,71.89332581
1383,92.57542419,1383,71.85782623
1382,92.55304718,1382,71.86555481
1381,92.54186249,1381,71.80889893
1380,92.51650238,1380,71.7461319
1379,92.49588013,1379,71.70567322
1378,92.46666718,1378,71.65271759
1377,92.44622803,1377,71.60057068
1376,92.38844299,1376,71.53692627
1375,92.34590149,1375,71.4863739
1374,92.3327713,1374,71.45813751
1373,92.30832672,1373,71.42562103
1372,92.28339386,1372,71.38799286
1371,92.26010132,1371,71.36154175
1370,92.24304199,1370,71.33019257
1369,92.20586395,1369,71.29144287
1368,92.2124176,1368,71.26959229
1367,92.22413635,1367,71.26951599
1366,92.19407654,1366,71.21741486
1365,92.1632309,1365,71.15955353
1364,92.1712265,1364,71.11325073
1363,92.14305878,1363,71.10021973
1362,92.15370178,1362,71.02694702
1361,92.13080597,1361,70.99106598
1360,92.12037659,1360,70.94314575
1359,92.12282562,1359,70.92488098
1358,92.09255981,1358,70.88220978
1357,92.10879517,1357,70.85968781
1356,92.07449341,1356,70.8170166
1355,92.06642914,1355,70.77812195
1354,92.05428314,1354,70.75432587
1353,92.08003235,1353,70.754776
1352,92.02872467,1352,70.71048737
1351,92.01849365,1351,70.67622375
1350,92.02005005,1350,70.6824646
1349,92.00145721,1349,70.66709137
1348,91.98468781,1348,70.63967896
1347,91.98073578,1347,70.6317749
1346,91.97503662,1346,70.6016922
1345,91.96385956,1345,70.58891296
1344,91.94538879,1344,70.57603455
1343,91.94609833,1343,70.56964874
1342,91.94210052,1342,70.55272675
1341,91.95374298,1341,70.53964996
1340,91.92804718,1340,70.50886536
1339,91.92366791,1339,70.51180267
1338,91.93164063,1338,70.47032166
1337,91.92920685,1337,70.47050476
1336,91.91057587,1336,70.4522934
1335,91.90414429,1335,70.42661285
1334,91.90816498,1334,70.3871994
1333,91.91632843,1333,70.39332581
1332,91.91318512,1332,70.37516785
1331,91.90193939,1331,70.33940887
1330,91.89503479,1330,70.32186127
1329,91.89944458,1329,70.30497742
1328,91.8910675,1328,70.28395844
1327,91.88946533,1327,70.26220703
1326,91.88114166,1326,70.23891449
1325,91.88426971,1325,70.20903015
1324,91.8884964,1324,70.20232391
1323,91.88670349,1323,70.1836319
1322,91.87559509,1322,70.15171814
1321,91.86078644,1321,70.12273407
1320,91.86390686,1320,70.10649109
1319,91.86544037,1319,70.09487152
1318,91.85990906,1318,70.07002258
1317,91.87069702,1317,70.05538177
