Bi2Zr2O7,Bi2Zr2O7,Bi2Zr2O7,CsTaTeO6,CsTaTeO6,CsTaTeO6
energy (eV),(F(R)-E)^1/2,Fit,energy (eV),(F(R)-E)^1/2,Fit
0.732,0.04604,-4.55875,0.732,0.17772,-0.81401
0.73243,0.046,-4.55747,0.73243,0.17783,-0.81293
0.73286,0.0459,-4.55618,0.73286,0.17776,-0.81184
0.73329,0.046,-4.5549,0.73329,0.17792,-0.81076
0.73373,0.04593,-4.55361,0.73373,0.17798,-0.80967
0.73416,0.04598,-4.55233,0.73416,0.17808,-0.80858
0.7346,0.04609,-4.55104,0.7346,0.17821,-0.80749
0.73503,0.04585,-4.54974,0.73503,0.17801,-0.80639
0.73547,0.04607,-4.54845,0.73547,0.17846,-0.8053
0.73591,0.0461,-4.54716,0.73591,0.17846,-0.80421
0.73634,0.04605,-4.54586,0.73634,0.17841,-0.80311
0.73678,0.04624,-4.54456,0.73678,0.17859,-0.80201
0.73722,0.04623,-4.54327,0.73722,0.1788,-0.80091
0.73766,0.04623,-4.54197,0.73766,0.17874,-0.79981
0.7381,0.0463,-4.54066,0.7381,0.17883,-0.79871
0.73853,0.04647,-4.53936,0.73853,0.17909,-0.79761
0.73897,0.04645,-4.53806,0.73897,0.17938,-0.79651
0.73942,0.04646,-4.53675,0.73942,0.17935,-0.7954
0.73986,0.04657,-4.53544,0.73986,0.17939,-0.79429
0.7403,0.04659,-4.53413,0.7403,0.1795,-0.79319
0.74074,0.0467,-4.53282,0.74074,0.17973,-0.79208
0.74118,0.04671,-4.53151,0.74118,0.17971,-0.79097
0.74163,0.04675,-4.53019,0.74163,0.17988,-0.78985
0.74207,0.04683,-4.52888,0.74207,0.17998,-0.78874
0.74251,0.04697,-4.52756,0.74251,0.18022,-0.78763
0.74296,0.04702,-4.52624,0.74296,0.18038,-0.78651
0.74341,0.04706,-4.52492,0.74341,0.18047,-0.78539
0.74385,0.04694,-4.5236,0.74385,0.18034,-0.78427
0.7443,0.04723,-4.52227,0.7443,0.18076,-0.78315
0.74474,0.04717,-4.52095,0.74474,0.18082,-0.78203
0.74519,0.04725,-4.51962,0.74519,0.18096,-0.78091
0.74564,0.04748,-4.51829,0.74564,0.18113,-0.77979
0.74609,0.04742,-4.51696,0.74609,0.18118,-0.77866
0.74654,0.04741,-4.51563,0.74654,0.18133,-0.77753
0.74699,0.04752,-4.5143,0.74699,0.18147,-0.77641
0.74744,0.04749,-4.51296,0.74744,0.18154,-0.77528
0.74789,0.04768,-4.51163,0.74789,0.18188,-0.77415
0.74834,0.0476,-4.51029,0.74834,0.18186,-0.77301
0.74879,0.04763,-4.50895,0.74879,0.18194,-0.77188
0.74924,0.04777,-4.50761,0.74924,0.18219,-0.77074
0.7497,0.0478,-4.50626,0.7497,0.18226,-0.76961
0.75015,0.04778,-4.50492,0.75015,0.18232,-0.76847
0.75061,0.04795,-4.50357,0.75061,0.18256,-0.76733
0.75106,0.04783,-4.50222,0.75106,0.18258,-0.76619
0.75152,0.048,-4.50088,0.75152,0.18277,-0.76505
0.75197,0.04808,-4.49952,0.75197,0.18302,-0.76391
0.75243,0.04816,-4.49817,0.75243,0.18315,-0.76276
0.75288,0.04817,-4.49682,0.75288,0.18321,-0.76162
0.75334,0.04794,-4.49546,0.75334,0.18306,-0.76047
0.7538,0.04825,-4.4941,0.7538,0.18352,-0.75932
0.75426,0.04835,-4.49274,0.75426,0.18376,-0.75817
0.75472,0.0483,-4.49138,0.75472,0.18368,-0.75702
0.75518,0.04849,-4.49002,0.75518,0.18388,-0.75586
0.75564,0.04834,-4.48865,0.75564,0.18403,-0.75471
0.7561,0.04838,-4.48729,0.7561,0.18403,-0.75355
0.75656,0.04835,-4.48592,0.75656,0.18412,-0.7524
0.75702,0.04836,-4.48455,0.75702,0.18429,-0.75124
0.75748,0.04858,-4.48318,0.75748,0.18455,-0.75008
0.75795,0.04848,-4.48181,0.75795,0.18469,-0.74892
0.75841,0.04847,-4.48043,0.75841,0.18458,-0.74775
0.75887,0.04854,-4.47906,0.75887,0.18475,-0.74659
0.75934,0.04851,-4.47768,0.75934,0.18485,-0.74542
0.7598,0.04839,-4.4763,0.7598,0.18488,-0.74426
0.76027,0.04847,-4.47492,0.76027,0.18496,-0.74309
0.76074,0.04853,-4.47354,0.76074,0.18521,-0.74192
0.7612,0.0484,-4.47215,0.7612,0.18516,-0.74075
0.76167,0.04861,-4.47076,0.76167,0.18538,-0.73957
0.76214,0.04848,-4.46938,0.76214,0.1854,-0.7384
0.76261,0.04847,-4.46799,0.76261,0.18557,-0.73722
0.76308,0.04845,-4.4666,0.76308,0.18561,-0.73605
0.76355,0.04837,-4.4652,0.76355,0.18562,-0.73487
0.76402,0.04841,-4.46381,0.76402,0.18573,-0.73369
0.76449,0.04856,-4.46241,0.76449,0.18612,-0.73251
0.76496,0.04854,-4.46101,0.76496,0.18618,-0.73132
0.76543,0.04848,-4.45961,0.76543,0.18612,-0.73014
0.7659,0.04869,-4.45821,0.7659,0.18637,-0.72895
0.76638,0.04852,-4.45681,0.76638,0.18644,-0.72777
0.76685,0.04864,-4.4554,0.76685,0.18659,-0.72658
0.76733,0.04871,-4.454,0.76733,0.18674,-0.72539
0.7678,0.0487,-4.45259,0.7678,0.1869,-0.7242
0.76828,0.04883,-4.45118,0.76828,0.1871,-0.723
0.76875,0.04893,-4.44976,0.76875,0.18734,-0.72181
0.76923,0.04878,-4.44835,0.76923,0.18738,-0.72061
0.76971,0.04902,-4.44693,0.76971,0.18752,-0.71941
0.77019,0.04901,-4.44552,0.77019,0.18777,-0.71821
0.77067,0.04905,-4.4441,0.77067,0.18787,-0.71701
0.77114,0.04911,-4.44268,0.77114,0.18813,-0.71581
0.77162,0.04921,-4.44125,0.77162,0.18824,-0.71461
0.7721,0.04922,-4.43983,0.7721,0.18831,-0.7134
0.77259,0.04918,-4.4384,0.77259,0.18846,-0.7122
0.77307,0.04944,-4.43697,0.77307,0.1888,-0.71099
0.77355,0.0494,-4.43555,0.77355,0.18896,-0.70978
0.77403,0.04939,-4.43411,0.77403,0.18903,-0.70857
0.77452,0.04945,-4.43268,0.77452,0.18912,-0.70735
0.775,0.0493,-4.43124,0.775,0.18908,-0.70614
0.77548,0.04951,-4.42981,0.77548,0.18936,-0.70492
0.77597,0.0496,-4.42837,0.77597,0.18965,-0.70371
0.77646,0.04949,-4.42693,0.77646,0.18969,-0.70249
0.77694,0.04969,-4.42549,0.77694,0.18979,-0.70127
0.77743,0.04977,-4.42404,0.77743,0.19006,-0.70004
0.77792,0.04964,-4.4226,0.77792,0.19017,-0.69882
0.77841,0.04958,-4.42115,0.77841,0.19019,-0.6976
0.77889,0.04968,-4.4197,0.77889,0.19038,-0.69637
0.77938,0.04974,-4.41825,0.77938,0.19045,-0.69514
0.77987,0.04975,-4.41679,0.77987,0.19062,-0.69391
0.78037,0.04979,-4.41534,0.78037,0.19102,-0.69268
0.78086,0.04986,-4.41388,0.78086,0.19104,-0.69145
0.78135,0.04985,-4.41242,0.78135,0.19103,-0.69021
0.78184,0.04982,-4.41096,0.78184,0.19119,-0.68898
0.78233,0.04981,-4.4095,0.78233,0.19144,-0.68774
0.78283,0.04984,-4.40803,0.78283,0.19152,-0.6865
0.78332,0.04991,-4.40657,0.78332,0.19169,-0.68526
0.78382,0.0499,-4.4051,0.78382,0.19175,-0.68402
0.78431,0.05006,-4.40363,0.78431,0.19208,-0.68278
0.78481,0.05012,-4.40216,0.78481,0.19212,-0.68153
0.78531,0.05007,-4.40068,0.78531,0.19221,-0.68028
0.7858,0.05005,-4.39921,0.7858,0.19241,-0.67904
0.7863,0.04995,-4.39773,0.7863,0.19241,-0.67779
0.7868,0.05011,-4.39625,0.7868,0.19273,-0.67653
