material_id,formula,diel_ionic_pred_n0,diel_ionic_ale_n0
scn-19280,LiWBrO6,32.0114,10.4248
scn-19281,Cs2NaHf5TiO,2.9453,0.3262
scn-19282,Na2HfMgF7,20.3441,3.798
scn-19283,Mn4Sb,19.4128,2.0393
scn-19284,S(IO2)3,5.1491,0.3034
scn-19285,KNb(FeO3)3,9.9289,0.3844
scn-19286,KTa2CuO7,60.4831,4.1309
scn-19287,SrReF3,7.3767,0.2711
scn-19288,KHfAt2OF5,7.6957,0.2754
scn-19289,KNbTlO6,43.2392,3.9241
scn-19290,TcSnO4,8.6712,0.5203
scn-19291,Cs2YGeF6,7.1908,0.4434
scn-19292,RbNa2ScF6,78.7749,4.7542
scn-19293,TlBr9(Cl2O)4,3.0749,0.3635
scn-19294,Rb5Na4O12,4.2106,0.3039
scn-19295,NaTa4Cd18Bi5,17.834,0.7336
scn-19296,Ba4LiCl,13.2161,0.3267
scn-19297,Cs7TaO,9.4617,0.3791
scn-19298,K2HfWOF5,6.4451,0.2585
scn-19299,Nb2Zn(TcO3)3,14.1952,0.7344
scn-19300,ZrN3F7,6.4762,0.611
scn-19301,Ba2Sr2O7,13.232,0.5614
scn-19302,RbMgCrRu6,15.3997,1.0352
scn-19303,Rb9Ba3Nb2Zn,17.2221,0.6549
scn-19304,CaScCl,15.0915,0.6473
scn-19305,NaSr2O4,17.2646,0.741
scn-19306,Sr2CdInO6,10.257,1.3534
scn-19307,Cs2NaZrCr5O,3.6771,0.4255
scn-19308,K2NaZrRu5O,8.9289,0.4231
scn-19309,FrCs2ZrOF5,37.8184,4.3823
scn-19310,RbZrAs2OF5,7.0449,0.2739
scn-19311,MgCrCd2F7,18.9687,2.3182
scn-19312,Ba3MgTc2O9,19.3565,1.2083
scn-19313,Nb2Tc4O9,11.8762,0.5617
scn-19314,Nb2Cd(PoO3)3,8.0921,0.4081
scn-19315,K2MgGaF7,93.9057,8.6448
scn-19316,Na2MgNF7,20.5531,5.8892
scn-19317,VGa2F,7.8541,0.2511
scn-19318,MgAl6Pb2W,18.1934,0.9112
scn-19319,Zr2Cr2O7,21.1097,1.1323
scn-19320,Na2Ta2V2As6O17,17.9015,1.1411
scn-19321,GaRh3Pb,11.2747,0.7076
scn-19322,NbTlZn2O8,14.4819,0.589
scn-19323,Ti3(GeO2)4,9.119,0.2993
scn-19324,MoAsO5,7.6408,0.3408
scn-19325,Ga3AgO8,5.4399,0.4219
scn-19326,Tc4Bi2O11,7.4068,0.3529
scn-19327,TaAl3O7,29.57,1.4065
scn-19328,YSc2TaO7,43.1024,2.488
scn-19329,NiRu2WO6,6.59,0.4424
